rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2017_overall-0,AO3_2017_overall,1,0,Castiel x Dean Winchester,2,slash,None,66148,Supernatural,None
AO3_2017_overall-1,AO3_2017_overall,2,0,Sherlock Holmes x John Watson,2,slash,None,52232,Sherlock (TV),None
AO3_2017_overall-2,AO3_2017_overall,3,0,Derek Hale x Stiles Stilinski,2,slash,None,47528,Teen Wolf (TV),None
AO3_2017_overall-3,AO3_2017_overall,4,0,Harry Styles x Louis Tomlinson,2,slash,None,29338,One Direction (Band),None
AO3_2017_overall-4,AO3_2017_overall,5,0,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,2,slash,None,27854,Captain America (Movies),None
AO3_2017_overall-5,AO3_2017_overall,6,0,Dean Winchester x Sam Winchester,2,slash,None,22797,Supernatural,None
AO3_2017_overall-6,AO3_2017_overall,7,2,Draco Malfoy x Harry Potter,2,slash,None,22402,Harry Potter - J. K. Rowling,None
AO3_2017_overall-7,AO3_2017_overall,8,-1,Steve Rogers | Captain America x Tony Stark | Iron Man,2,slash,None,19859,The Avengers (Marvel Movies),None
AO3_2017_overall-8,AO3_2017_overall,9,-1,Merlin x Arthur Pendragon,2,slash,None,17565,Merlin (TV),None
AO3_2017_overall-9,AO3_2017_overall,10,1,Sherlock Holmes & John Watson,2,gen,None,14453,Sherlock (TV),None
AO3_2017_overall-10,AO3_2017_overall,11,-1,Blaine Anderson x Kurt Hummel,2,slash,None,14059,Glee,None
AO3_2017_overall-11,AO3_2017_overall,12,new,Katsuki Yuuri x Victor Nikiforov,2,slash,None,13902,Yuri!!! on Ice (Anime),None
AO3_2017_overall-12,AO3_2017_overall,13,0,Levi Ackerman x Eren Yeager,2,slash,None,11702,Shingeki no Kyojin | Attack on Titan,None
AO3_2017_overall-13,AO3_2017_overall,14,-2,Erik Lehnsherr | Magneto x Charles Xavier | Professor X,2,slash,None,11683,X-Men (Alternate Timeline Movies),None
AO3_2017_overall-14,AO3_2017_overall,15,4,Will Graham x Hannibal Lecter,2,slash,None,11262,Hannibal (TV),None
AO3_2017_overall-15,AO3_2017_overall,16,-1,Jensen Ackles x Jared Padalecki,2,slash,None,11242,Supernatural RPF,None
AO3_2017_overall-16,AO3_2017_overall,17,new,Keith x Lance,2,slash,None,10614,Voltron: Legendary Defender,None
AO3_2017_overall-17,AO3_2017_overall,18,-4,Rodney McKay x John Sheppard,2,slash,None,10445,Stargate Atlantis,None
AO3_2017_overall-18,AO3_2017_overall,19,2,Sirius Black x Remus Lupin,2,slash,None,10137,Harry Potter - J. K. Rowling,None
AO3_2017_overall-19,AO3_2017_overall,20,-2,Gabriel x Sam Winchester,2,slash,None,10060,Supernatural,None
AO3_2017_overall-20,AO3_2017_overall,21,15,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,2,slash,None,9938,Phandom/The Fantastic Foursome (YouTube RPF),None
AO3_2017_overall-21,AO3_2017_overall,22,32,Magnus Bane x Alec Lightwood,2,slash,None,9734,Shadowhunters (TV),None
AO3_2017_overall-22,AO3_2017_overall,23,-7,Clint Barton | Hawkeye x Phil Coulson,2,slash,None,9606,The Avengers (Marvel Movies),None
AO3_2017_overall-23,AO3_2017_overall,24,-7,Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,2,slash,None,9421,The Avengers (Marvel Movies),None
